northboundVersion,/apiName,headers,httpMethod_api,endpoint_api,jsonBody,southboundVersion,southboundMethod,southBoundVersion_sb,methodName,queryParams,microService,operation,backendVersion,endpoint_sb,responseUnwrapMethod,httpMethod_sb
v25,Get Cart,Session-Id;Virgin-Device-Id;Accept-Version,GET,family/cart,process=example&delivery_method=example,V13,get_cart,V13,get_cart,UIProcess;deliveryMethod,FamilyCart,Summary,V4,FamilyCart/V4/Summary,parsed_key_result3,GET
v25,List,Session-Id;Virgin-Device-Id;Accept-Version,GET,offers/list,number=example&product_code=example,V13,list,V13,list,MSISDN;productCodes,Offers,List,v2,Offers/v2/List,parsed_key_result3,GET
v25,Get Current Plans,Session-Id;Accept-Version;Virgin-Device-Id,GET,plans/,number=example&include_expired_promo=true&include_optional_promotions=true,V13,available_current_plans,V13,available_current_plans,MSISDN;IncludeExpiredPromo;isIncludePromotion,Available,Current,V5,Available/V5/Current,parsed_key_result3,GET
v25,Summary,Session-Id;Virgin-Device-Id;Accept-Version,GET,plans/summary,delivery_method=example&include_optional_promotions=true,V13,summary,V13,summary,deliveryMethod;isIncludePromotion,plans,confirmation,v6,plans/v6/confirmation,parsed_key_results,GET
v25,Get Out of Bunlde,Session-Id;Accept-Version;Virgin-Device-Id,GET,plans/out_of_bundle,number=example&include_expired_promo=true&include_optional_promotions=true,V13,out_of_bundle_plans,V13,out_of_bundle_plans,MSISDN;IncludeExpiredPromo;isIncludePromotion,Available,OutOfBundlePlan,V5,Available/V5/OutOfBundlePlan,parsed_key_result3,GET
v26,GET vtoken,Session-Id;Virgin-Device-Id;Accept-Version,GET,activation/absher_token/,category=123,V14,get_token,V14,get_token,Category,activation,token,v3,activation/v3/token,parsed_key_results,GET
v26,POST token,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/absher_token/,"{ ""token"" : ""example"", ""creation_date"" : ""value"", ""category"" : 123 }",V14,post_token,V14,post_token,Token;CreationDate;Category,activation,token,v3,activation/v3/token,parsed_key_results,POST
v26,Request Absher token,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/absher_token/request_absher/,"{ ""category"" : 123 }",V14,request_absher,V14,request_absher,Category,Activation,RequestAbsher,V3,Activation/V3/RequestAbsher,parsed_key_results,POST
v26,Absher status check ,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/absher_token/request_absher/check_absher_status/,"{ ""category"" : 123 }",V14,check_absher_status,V14,check_absher_status,Category,Activation,AbsherCheckStatus,V3,Activation/V3/AbsherCheckStatus,parsed_key_results,POST
v26,Manual Retry Activation,Session-Id;Virgin-Device-Id;Accept-Version,POST,activation/absher_token/request_absher/check_absher_status/manual_retry_activation,,V14,manual_retry_activation,V14,manual_retry_activation,,activation,ManualRetryActivation,v3,activation/v3/ManualRetryActivation,parsed_data,POST
