southBoundVersion,methodName,queryParams,microService,operation,backendVersion,endpoint,responseUnwrapMethod,httpMethod
V1,family_checkout,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;process;,FamilyPayment,SubmitFamilyTransApplePay,V3,FamilyPayment/V3/SubmitFamilyTransApplePay,parsed_key_result3,POST
V1,pay_esim,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation;MSISDN,CreditCard,PayForEsimApplePay,V1,CreditCard/V1/PayForEsimApplePay,parsed_key_result3,POST
V1,pay_extras,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation,Extras,PayForExtraApplePay,V2,Extras/V2/PayForExtraApplePay,parsed_key_result3,POST
V1,pay_replace_sim,apple_data;apple_signature;apple_transactionId;apple_ephemeralPublicKey;apple_publicKeyHash;apple_displayName;apple_network;apple_type;Apple_ApplicationData;paymentOperation;MSISDN;isIntoEsim,SimReplacment,PaymentApplePay,V1,SimReplacment/V1/PaymentApplePay,parsed_key_result3,POST
V1,request_payment_session,,,,,,,POST
V1,request_payment_session_new,,WebAppleSession,StartAppleSessionForWeb,V1,WebAppleSession/V1/StartAppleSessionForWeb,parsed_key_result3,GET
V1,submit_user_action,Action,AppRate,SubmitUserAction,V1,AppRate/V1/SubmitUserAction,parsed_key_result3,POST
V1,submit_user_rate,Action;UserRate,AppRate,SubmitUserRate,V1,AppRate/V1/SubmitUserRate,parsed_key_result3,POST
V1,get_auto_topup,MSISDN,AutoRechargeDetails,AutoRechargeDetails,V1,AutoRechargeDetails/V1/AutoRechargeDetails,parsed_key_results,GET
V1,set_auto_recharge,Amount;MSISDN;minimumRechargeBalance;AutoRechargeStatus,AutoRechargeDetails.svc,AutoRechargeDetails,V1,AutoRechargeDetails.svc/V1/AutoRechargeDetails,parsed_key_results,POST
V1,one_off,MSISDN;amount,AccountBalance,Recharge,V1,AccountBalance/V1/Recharge,parsed_key_results,POST
V1,one_off_with_cvv,MSISDN;CVV;amount,AccountBalance,RechargeOnlinePayment,V1,AccountBalance/V1/RechargeOnlinePayment,,POST
V1,confirm,,PaymentManagement.svc,ConfirmOnlinePaymentTransaction,V1,PaymentManagement.svc/V1/ConfirmOnlinePaymentTransaction,parsed_data,POST
V1,schedule_recharge,amount;MSISDN,AutoRechargeDetails,ScheduleRecharge,V1,AutoRechargeDetails/V1/ScheduleRecharge,parsed_key_results,POST
V1,get_schedule_recharge,MSISDN,AutoRechargeDetails,Scheduled,V1,AutoRechargeDetails/V1/Scheduled,parsed_key_results,GET
V1,one_time,amount;MSISDN,AutoRechargeDetails,OneTime,V1,AutoRechargeDetails/V1/OneTime,parsed_key_results,POST
V1,available_denominations,MSISDN,AutoRechargeDetails,AvailableTopupDenominations,V2,AutoRechargeDetails/V2/AvailableTopupDenominations,parsed_key_result3,GET
V1,initialize,,,,,,,
V1,merge_request_headers,,,,,,,
V1,connected,,,,,,,
V1,reconnect,,,,,,,
V1,ip,,,,,,,
V1,session_id,,,,,,,
V1,brand,,,,,,,
